round,mesocosm,plantsp,leaf,trt,den,height,stems,nm_leaves,1total_w,1total_h,nm_dmged,cons_area,sp,stage,body_lg,sex,vial_weight,poo_weight,Notes
4,14,grass,,u,,,,,,,1,4.619,ach,,26.51,,,,
4,15,grass,,b,,,,,,,1,3.477,ach,,27.1,m,1.125,1.139,
4,15,grass,,b,,,,,,,1,2.577,ach,,27.1,,,,
4,15,grass,,u,,,,,,,0,0,ach,,27.1,,,,
4,15,grass,,u,,,,,,,0,0,ach,,27.1,,,,
4,16,grass,,b,,,,,,,1,1.86,ach,,26.55,m,1.1247,1.1445,
4,16,grass,,b,,,,,,,1,0.991,ach,,26.55,,,,
4,16,grass,,u,,,,,,,1,1.411,ach,,26.55,,,,
4,16,grass,,u,,,,,,,0,0,ach,,26.55,,,,
4,17,grass,,b,,,,,,,1,1.411,ach,,28.05,m,1.1086,1.1171,
4,17,grass,,b,,,,,,,0,0,ach,,28.05,,,,
4,17,grass,,u,,,,,,,1,0,ach,,28.05,,,,
4,17,grass,,u,,,,,,,0,1.055,ach,,28.05,,,,
4,18,grass,,b,,,,,,,0,0,ach,,28.52,m,1.1086,1.1098,
4,18,grass,,b,,,,,,,0,0,ach,,28.52,,,,
4,18,grass,,u,,,,,,,0,0,ach,,28.52,,,,
4,18,grass,,u,,,,,,,0,0,ach,,28.52,,,,
4,19,grass,,b,,,,,,,0,0,ach,,28.19,m,1.1268,1.1268,
4,19,grass,,b,,,,,,,0,0,ach,,28.19,,,,
4,19,grass,,u,,,,,,,0,0,ach,,28.19,,,,
4,19,grass,,u,,,,,,,0,0,ach,,28.19,,,,
4,20,grass,,b,,,,,,,0,0,ach,,26.22,m,1.1168,1.1168,
4,20,grass,,b,,,,,,,0,0,ach,,26.22,,,,
4,20,grass,,u,,,,,,,0,0,ach,,26.22,,,,
4,20,grass,,u,,,,,,,0,0,ach,,26.22,,,,
