strip,round,cage,b_u,plant ,perc,height ,bare,notes 
3,2,32,b,cent ,0,0,,
3,2,32,b,dican ,7,49,,
3,2,32,b,bb,0,0,,
3,2,32,b,silky,20,61,,
3,2,32,b,dog ,68,83,,max height
3,2,32,b,other ,0,0,,
3,2,33,b,wide ,0,0,10,
3,2,33,b,cent ,25,68,,
3,2,33,b,dican ,0,0,,
3,2,33,b,bb,0,0,,
3,2,33,b,silky,35,69,,
3,2,33,b,dog ,0,0,,
3,2,33,b,other ,0,0,,
3,2,34,b,wide ,0,0,15,
3,2,34,b,cent ,20,78,,
3,2,34,b,dican ,0,0,,
3,2,34,b,bb,10,66,,
3,2,34,b,silky,0,0,,
3,2,34,b,dog ,0,0,,
3,2,34,b,other ,0,0,,
3,2,35,b,wide ,0,0,10,
3,2,35,b,cent ,45,83,,
3,2,35,b,dican ,0,0,,
3,2,35,b,bb,4,6,,
3,2,35,b,silky,0,0,,
3,2,35,b,dog ,0,0,,
3,2,35,b,other ,0,,,
3,2,36,b,wide ,0,0,20,
3,2,36,b,cent ,30,76,,
3,2,36,b,dican ,0,0,,
3,2,36,b,bb,4,6,,
3,2,36,b,silky,0,0,,
3,2,36,b,dog ,0,0,,
3,2,36,b,other ,0,0,,
4,2,37,u,wide ,0,0,10,
4,2,37,u,cent ,30,67,,
4,2,37,u,dican ,0,0,,
4,2,37,u,bb,0,0,,
4,2,37,u,silky,5,48,,
4,2,37,u,dog ,0,0,,
4,2,37,u,other ,0,,,
4,2,38,u,wide ,0,0,8,
4,2,38,u,cent ,53,70,,
4,2,38,u,dican ,0,0,,
4,2,38,u,bb,0,0,,
4,2,38,u,silky,0,0,,
4,2,38,u,dog ,0,0,,
4,2,38,u,other ,0,0,,
4,2,39,u,wide ,0,0,50,
4,2,39,u,cent ,3,21,,
4,2,39,u,dican ,0,0,,
4,2,39,u,bb,2,7,,
4,2,39,u,silky,5,62,,
4,2,39,u,dog ,0,0,,
4,2,39,u,other ,20,,,forb
4,2,40,u,wide ,0,0,12,
4,2,40,u,cent ,52,83,,
4,2,40,u,dican ,0,0,,
4,2,40,u,bb,1,4,,
4,2,40,u,silky,0,0,,
4,2,40,u,dog ,0,0,,
4,2,40,u,other ,1,,,sedge
4,2,41,u,wide ,18,62,18,
4,2,41,u,cent ,2,14,,
4,2,41,u,dican ,0,0,,
4,2,41,u,bb,2,7,,
4,2,41,u,silky,5,36,,
4,2,41,u,dog ,0,0,,
4,2,41,u,other ,35,,,fab and forb
4,2,42,u,wide ,0,0,2,
4,2,42,u,cent ,16,83,,
4,2,42,u,dican ,0,0,,
4,2,42,u,bb,8,5,,
4,2,42,u,silky,2,34,,
4,2,42,u,dog ,0,0,,
4,2,42,u,other ,1,,,forb
4,2,43,u,wide ,0,0,52,
4,2,43,u,cent ,5,49,,
4,2,43,u,dican ,0,0,,
4,2,43,u,bb,0,0,,
4,2,43,u,silky,5,39,,
4,2,43,u,dog ,0,0,,
4,2,43,u,other ,5,,,fab
4,2,44,u,wide ,18,53,15,
4,2,44,u,cent ,6,40,,
4,2,44,u,dican ,0,0,,
4,2,44,u,bb,0,0,,
4,2,44,u,silky,3,55,,lots of herbiv
4,2,44,u,dog ,0,0,,
4,2,44,u,other ,0,0,,
4,2,45,u,wide ,0,0,7,
4,2,45,u,cent ,20,69,,
4,2,45,u,dican ,0,0,,
4,2,45,u,bb,4,6,,
4,2,45,u,silky,2,39,,very eaten
4,2,45,u,dog ,0,0,,
4,2,45,u,other ,0,0,,
4,2,46,u,wide ,0,0,30,
4,2,46,u,cent ,35,80,,
4,2,46,u,dican ,1,10,,
4,2,46,u,bb,0,0,,
4,2,46,u,silky,6,48,,
4,2,46,u,dog ,0,0,,
4,2,46,u,other ,0,0,,
4,2,47,u,wide ,0,0,10,
4,2,47,u,cent ,45,78,,
4,2,47,u,dican ,0,0,,
4,2,47,u,bb,3,7,,
4,2,47,u,silky,4,45,,
4,2,47,u,dog ,0,0,,
4,2,47,u,other ,4,,,forb
4,2,48,u,wide ,0,0,20,
4,2,48,u,cent ,15,70,,
4,2,48,u,dican ,0,0,,
4,2,48,u,bb,3,6,,
4,2,48,u,silky,6,46,,
4,2,48,u,dog ,0,0,,
4,2,48,u,other ,0,0,,
5,2,49,b,wide ,7,38,,
5,2,49,b,cent ,2,10,,
5,2,49,b,dican ,0,0,,
5,2,49,b,bb,0,0,,
5,2,49,b,silky,0,0,,
5,2,49,b,dog ,0,0,,
5,2,49,b,other ,15,,,aster
5,2,50,b,wide ,18,50,45,
5,2,50,b,cent ,4,31,,
5,2,50,b,dican ,0,0,,
5,2,50,b,bb,0,0,,
5,2,50,b,silky,6,42,,
5,2,50,b,dog ,0,0,,
5,2,50,b,other ,0,0,,
5,2,51,b,wide ,20,49,10,
5,2,51,b,cent ,3,33,,
5,2,51,b,dican ,0,0,,
5,2,51,b,bb,0,0,,
5,2,51,b,silky,13,55,,
5,2,51,b,dog ,0,0,,
5,2,51,b,other ,3,,,
5,2,52,b,wide ,10,31,38,
5,2,52,b,cent ,0,0,,
5,2,52,b,dican ,0,0,,
5,2,52,b,bb,3,8,,
5,2,52,b,silky,0,0,,
5,2,52,b,dog ,1,50,,
5,2,52,b,other ,0,,,
