num,strip ,block ,cage ,trt,sp,ind,date,type,round,length,width,sex ,color,stage ,alive,notes
,3,6,33,ach_high,ach,7,6/27/2025,stock,1 ,19.81,1.42,f,LB,,1,
,3,6,33,ach_high,ach,8,6/27/2025,stock,1 ,23.29,1.62,f,LB-Tan,,1,
,3,6,33,ach_high,ach,9,6/27/2025,stock,1 ,25.09,1.64,f,G-Tstr,,1,
,3,6,34,apt_high,apt,1,6/27/2025,stock,1 ,16.38,2.42,f,G,,1,
,3,6,34,apt_high,apt,2,6/27/2025,stock,1 ,12.74,1.63,u,G,,1,
,3,6,34,apt_high,apt,3,6/27/2025,stock,1 ,17.91,2.79,u,G,,1,
,3,6,34,apt_high,apt,4,6/27/2025,stock,1 ,21.18,2.89,u,G,,1,
,3,6,34,apt_high,apt,5,6/27/2025,stock,1 ,8.11,1.3,u,G,,1,
,3,6,34,apt_high,apt,6,6/27/2025,stock,1 ,8.94,1.31,u,G,,1,
,3,6,34,apt_high,apt,7,6/27/2025,stock,1 ,16.3,2.71,u,G,,1,
,3,6,34,apt_high,apt,8,6/27/2025,stock,1 ,12.89,2.22,u,G,,1,
,3,6,34,apt_high,apt,9,6/27/2025,stock,1 ,15.85,2.36,u,G,,1,
,3,6,35,apt_low,apt,1,6/27/2025,stock,1 ,15.4,2.53,u,G,,1,
,3,6,35,apt_low,apt,2,6/27/2025,stock,1 ,11.28,1.85,u,G,,1,
,3,6,35,apt_low,apt,3,6/27/2025,stock,1 ,9.39,1.26,u,G,,1,
,3,6,35,apt_low,apt,4,6/27/2025,stock,1 ,12.53,1.84,u,G,,1,
,3,6,35,apt_low,apt,5,6/27/2025,stock,1 ,17.49,2.39,f,G,,1,
,3,6,35,apt_low,apt,6,6/27/2025,stock,1 ,11.52,2.2,u,G,,1,
,3,6,36,ach_33,apt,1,6/27/2025,stock,1 ,8.81,0.98,u,G,,1,
,3,6,36,ach_33,apt,2,6/27/2025,stock,1 ,15.14,1.5,u,G,,1,
,3,6,36,ach_33,apt,3,6/27/2025,stock,1 ,11.48,1.48,u,G,,1,
,3,6,36,ach_33,apt,4,6/27/2025,stock,1 ,10.96,1.35,u,G,,1,
,3,6,36,ach_33,apt,5,6/27/2025,stock,1 ,9.3,1.3,u,G,,1,
,3,6,36,ach_33,apt,6,6/27/2025,stock,1 ,17.14,1.93,f?,G,,1,
